Handle,Assumed IH,Min IH,Optimistic IH
renzod5,1.677170643,1.179,2.246508521
macerer,1.620269179,1.139,2.170291098
vasileios_panagiotidis,1.617424106,1.137,2.166480227
DecentralizeSDGs#7544,1.577593081,1.109,2.113128032
sinsan#3757,1.510733862,1.062,2.02357256
revxzx,1.496508496,1.052,2.004518205
viken33,1.404043617,0.987,1.880664894
lescanor,1.328649178,0.934,1.779676809
jakubgregus,1.328649178,0.934,1.779676809
igorline,1.291663226,0.908,1.730135485
edapt,1.28597308,0.904,1.722513743
lescanore,1.224804006,0.861,1.640580014
eskalexia,1.194930738,0.84,1.600565867
eeeit,1.194930738,0.84,1.600565867
BlockEnthusiast,1.194930738,0.84,1.600565867
santosthegreat,1.180705372,0.83,1.581511511
wunluv,1.169325079,0.822,1.566268027
stan#3519,1.162212396,0.817,1.556740849
Block Enthusiast#4019,1.162212396,0.817,1.556740849
blockchainberlin,1.146564494,0.806,1.535781058
monsterplayaus,1.133761664,0.797,1.518632138
cryptononymouseconomist,1.119536299,0.787,1.499577783
charingane,1.066902445,0.75,1.429076667
supernova_labs,1.051254542,0.739,1.408116876
fenjamin,1.046986932,0.736,1.402400569
sknuth#9426,0.923226249,0.649,1.236627676
decentralizesdgs,0.883395224,0.621,1.18327548
benjaminaaron,0.877705078,0.617,1.175653738
bradym,0.877705078,0.617,1.175653738
dazuck,0.877705078,0.617,1.175653738
eduadiez,0.877705078,0.617,1.175653738
erikbjare,0.877705078,0.617,1.175653738
jimbobbins,0.877705078,0.617,1.175653738
jamiepitts,0.877705078,0.617,1.175653738
wildpau,0.877705078,0.617,1.175653738
hanna_nevermind,0.873437468,0.614,1.169937431
freedumbs,0.825071224,0.58,1.105152622
sethfork,0.809423321,0.569,1.084192831
yangwao,0.729761272,0.513,0.97748844
sanolution,0.722648589,0.508,0.967961262
hxrts,0.658634443,0.463,0.882216662
quentin_hb,0.645831613,0.454,0.865067742
matiasbd,0.614535808,0.432,0.82314816
ontologymachine,0.530606149,0.373,0.710727462
youngkidwarrior,0.38408488,0.27,0.5144676
econaut6,0.295887611,0.208,0.396330596
scupytrooples,0.174972001,0.123,0.234368573
paulsalis,0.174972001,0.123,0.234368573
ethicraul,0.174972001,0.123,0.234368573
gijsspoor,0.162169172,0.114,0.217219653
hubway,0.162169172,0.114,0.217219653
marveloushelper,0.159324098,0.112,0.213408782
denissrgn,0.126605757,0.089,0.169583765
robinwhitney,0.103845171,0.073,0.139096796
pimpmypeon,0.103845171,0.073,0.139096796
cryptonian_z,0.103845171,0.073,0.139096796
asalemalawi,0.068281756,0.048,0.091460907
wolfofcurrency,0.054056391,0.038,0.072406551
llll79,0.039831025,0.028,0.053352196
burningfiat,0.035563415,0.025,0.047635889
immortaz,0.035563415,0.025,0.047635889
